"","x"
"intercept",0.00317503303825328
"month",-6.52889083259202e-09
"jan-sep",0
"oct-dec",0
"cpi_lag1",0.00282685491598878
"cpi_3ema",0
"cpi_9ema",-0.00148900811361034
"cpi_50ema",0
"usd_1m_pct",0
"usd_3m_pct",0
"usd_9m_pct",0
"usd_3m_pct_6m_lag",0
"usd_9m_pct_9m_lag",0
"usd_24ma",0
"usd_raw",0
"wti_1m_pct",0
"wti_3m_pct",0.00117027595537631
"wti_9m_pct",0
"wti_3m_pct_6m_lag",0
"wti_9m_pct_9m_lag",0
"wti_24ma",0
"wti_raw",0
"gas_1m_pct",0
"gas_3m_pct",1.31562340482356e-08
"gas_9m_pct",0
"gas_3m_pct_6m_lag",0
"gas_9m_pct_9m_lag",0
"gas_24ma",0
"gas_raw",0
"dji_1m_pct",-6.51282484442939e-07
"dji_3m_pct",0
"dji_9m_pct",0
"dji_3m_pct_6m_lag",0
"dji_9m_pct_9m_lag",0
"dji_24ma",-2.10483077896684e-07
"dji_raw",0
"ffr_1m_pct",1.0612489655539e-06
"ffr_3m_pct",0
"ffr_9m_pct",4.37400102005454e-08
"ffr_3m_pct_6m_lag",0
"ffr_9m_pct_9m_lag",0
"ffr_24ma",6.36010395679139e-07
"ffr_raw",2.77841877280724e-07
"vehic_1m_pct",4.19645249010084e-06
"vehic_3m_pct",2.87930473824466e-08
"vehic_9m_pct",1.71846186706485e-07
"vehic_3m_pct_6m_lag",0
"vehic_9m_pct_9m_lag",2.16918771322917e-08
"vehic_24ma",4.55539841745639e-07
"vehic_raw",0
"m2_1m_pct",0
"m2_3m_pct",0
"m2_9m_pct",0
"m2_3m_pct_6m_lag",0
"m2_9m_pct_9m_lag",3.3411622725624e-08
"m2_24ma",0
"m2_raw",0
"m2v_1m_pct",0
"m2v_3m_pct",0
"m2v_9m_pct",0
"m2v_3m_pct_6m_lag",8.05602126414292e-08
"m2v_9m_pct_9m_lag",0
"m2v_24ma",0
"m2v_raw",0
"chn_trd_1m_pct",0
"chn_trd_3m_pct",0
"chn_trd_9m_pct",3.27730945762881e-08
"chn_trd_3m_pct_6m_lag",1.03532189805789e-07
"chn_trd_9m_pct_9m_lag",3.13662974890237e-07
"chn_trd_24ma",0
"chn_trd_raw",0
"wages_1m_pct",0
"wages_3m_pct",0
"wages_9m_pct",0
"wages_3m_pct_6m_lag",0
"wages_9m_pct_9m_lag",0
"wages_24ma",0
"wages_raw",0
"saving_1m_pct",0
"saving_3m_pct",0
"saving_9m_pct",0
"saving_3m_pct_6m_lag",0
"saving_9m_pct_9m_lag",0
"saving_24ma",0
"saving_raw",0
"pce_1m_pct",0
"pce_3m_pct",0
"pce_9m_pct",0
"pce_3m_pct_6m_lag",0
"pce_9m_pct_9m_lag",2.97808655024313e-07
"pce_24ma",0
"pce_raw",0
"unemp_1m_pct",0
"unemp_3m_pct",0
"unemp_9m_pct",-1.57406071844991e-08
"unemp_3m_pct_6m_lag",0
"unemp_9m_pct_9m_lag",-1.01648500644639e-06
"unemp_24ma",0
"unemp_raw",-2.67975742012006e-08
"i_claims_1m_pct",0
"i_claims_3m_pct",0
"i_claims_9m_pct",0
"i_claims_3m_pct_6m_lag",0
"i_claims_9m_pct_9m_lag",0
"i_claims_24ma",0
"i_claims_raw",0
"c_claims_1m_pct",0
"c_claims_3m_pct",0
"c_claims_9m_pct",0
"c_claims_3m_pct_6m_lag",0
"c_claims_9m_pct_9m_lag",0
"c_claims_24ma",0
"c_claims_raw",0
"job_open_1m_pct",0
"job_open_3m_pct",0
"job_open_9m_pct",0
"job_open_3m_pct_6m_lag",1.0187681549917e-07
"job_open_9m_pct_9m_lag",0
"job_open_24ma",0
"job_open_raw",0
"sticky_1m_pct",0
"sticky_3m_pct",0
"sticky_9m_pct",0
"sticky_3m_pct_6m_lag",0
"sticky_9m_pct_9m_lag",0
"sticky_24ma",0
"sticky_raw",0
"ppi_1m_pct",0
"ppi_3m_pct",0
"ppi_9m_pct",2.99163554018045e-08
"ppi_3m_pct_6m_lag",0
"ppi_9m_pct_9m_lag",0
"ppi_24ma",0
"ppi_raw",0
"copper_1m_pct",0
"copper_3m_pct",0
"copper_9m_pct",0
"copper_3m_pct_6m_lag",0
"copper_9m_pct_9m_lag",0
"copper_24ma",0
"copper_raw",0
"wheat_1m_pct",2.84082158631503e-07
"wheat_3m_pct",0
"wheat_9m_pct",0
"wheat_3m_pct_6m_lag",0
"wheat_9m_pct_9m_lag",0
"wheat_24ma",1.623160343613e-07
"wheat_raw",0
"housing_1m_pct",0
"housing_3m_pct",0
"housing_9m_pct",8.37802634612587e-08
"housing_3m_pct_6m_lag",0
"housing_9m_pct_9m_lag",0
"housing_24ma",0
"housing_raw",0
