"","estimate","2.5%","97.5%","margpp"
"intercept",0.00317503303825328,0.00317503303825328,0.00317503303825328,1
"month",0,0,0,3.38134780911474e-05
"jan-sep",0,0,0,NA
"oct-dec",0,0,0,NA
"cpi_lag1",0.00282665465049607,0.0025497281787946,0.00310293479015963,1
"cpi_3ema",0,0,0,1.55768175927666e-05
"cpi_9ema",-0.00148874542199856,-0.00165137045057064,-0.00131584137457335,0.999975828448867
"cpi_50ema",0,0,0,1.05755045951494e-05
"usd_1m_pct",0,0,0,8.98699268915952e-06
"usd_3m_pct",0,0,0,1.36750990180551e-05
"usd_9m_pct",0,0,0,2.77622141322719e-05
"usd_3m_pct_6m_lag",0,0,0,9.69073169315532e-05
"usd_9m_pct_9m_lag",0,0,0,1.40830096364001e-05
"usd_24ma",0,0,0,9.41865658400286e-06
"usd_raw",0,0,0,1.50298875382792e-05
"wti_1m_pct",0,0,0,9.94733801860052e-06
"wti_3m_pct",0.00117194322300579,0.00103371989139267,0.00131204950458418,0.999999999999972
"wti_9m_pct",0,0,0,9.92634301035558e-06
"wti_3m_pct_6m_lag",0,0,0,1.04991589618141e-05
"wti_9m_pct_9m_lag",0,0,0,9.04536164331595e-06
"wti_24ma",0,0,0,1.00600314944383e-05
"wti_raw",0,0,0,1.14478931952913e-05
"gas_1m_pct",0,0,0,1.14385717529638e-05
"gas_3m_pct",0,0,0,5.96179773266174e-05
"gas_9m_pct",0,0,0,9.78345694276076e-06
"gas_3m_pct_6m_lag",0,0,0,3.0558617287856e-05
"gas_9m_pct_9m_lag",0,0,0,2.1840931089996e-05
"gas_24ma",0,0,0,1.2179858241653e-05
"gas_raw",0,0,0,1.22791331731927e-05
"dji_1m_pct",-5.15134579942025e-07,0,0,0.00173523526366235
"dji_3m_pct",0,0,0,7.10086630799626e-05
"dji_9m_pct",0,0,0,4.94196432387501e-05
"dji_3m_pct_6m_lag",0,0,0,9.2318211625391e-06
"dji_9m_pct_9m_lag",0,0,0,1.53127772085573e-05
"dji_24ma",-5.6261835689906e-07,0,0,0.00142918826852535
"dji_raw",0,0,0,9.08041338376061e-06
"ffr_1m_pct",5.33848387642831e-07,0,0,0.00207336621988856
"ffr_3m_pct",0,0,0,4.24214139973537e-05
"ffr_9m_pct",0,0,0,0.000108056736043955
"ffr_3m_pct_6m_lag",0,0,0,1.73958985033298e-05
"ffr_9m_pct_9m_lag",0,0,0,9.70411735976703e-06
"ffr_24ma",5.41804578962232e-07,0,0,0.00127951986143351
"ffr_raw",1.66932627441317e-07,0,0,0.000306841287106475
"vehic_1m_pct",3.70091307748351e-06,0,0,0.0100073237016584
"vehic_3m_pct",2.10827782645854e-08,0,0,7.370637274174e-05
"vehic_9m_pct",2.36427384628917e-07,0,0,0.000678668183602774
"vehic_3m_pct_6m_lag",0,0,0,5.34714699526619e-05
"vehic_9m_pct_9m_lag",2.03601631921714e-08,0,0,9.84357538585922e-05
"vehic_24ma",5.92388156966927e-07,0,0,0.00235862450400488
"vehic_raw",0,0,0,9.39820242170588e-06
"m2_1m_pct",0,0,0,1.17829774349267e-05
"m2_3m_pct",0,0,0,1.98387517350131e-05
"m2_9m_pct",0,0,0,1.6262793170158e-05
"m2_3m_pct_6m_lag",0,0,0,1.15133690607699e-05
"m2_9m_pct_9m_lag",9.42548093195328e-08,0,0,0.000212349231764682
"m2_24ma",0,0,0,9.04117472998039e-06
"m2_raw",0,0,0,9.21923467607004e-06
"m2v_1m_pct",0,0,0,9.47561565012877e-06
"m2v_3m_pct",0,0,0,9.08486432508135e-06
"m2v_9m_pct",0,0,0,1.70534590365273e-05
"m2v_3m_pct_6m_lag",3.86231305639714e-08,0,0,0.000261114189788824
"m2v_9m_pct_9m_lag",0,0,0,2.30201945311703e-05
"m2v_24ma",0,0,0,9.72188213458201e-06
"m2v_raw",0,0,0,2.12500092123748e-05
"chn_trd_1m_pct",0,0,0,9.46713423629991e-06
"chn_trd_3m_pct",3.06970503296148e-08,0,0,0.000136624039815958
"chn_trd_9m_pct",0,0,0,0.000156239741294193
"chn_trd_3m_pct_6m_lag",2.31711263589219e-07,0,0,0.000606419869875339
"chn_trd_9m_pct_9m_lag",1.8540269692553e-07,0,0,0.00055153045767967
"chn_trd_24ma",0,0,0,3.91341100599285e-05
"chn_trd_raw",0,0,0,2.23697287210143e-05
"wages_1m_pct",0,0,0,1.11654251889177e-05
"wages_3m_pct",0,0,0,1.55812248982219e-05
"wages_9m_pct",0,0,0,9.65238406675632e-06
"wages_3m_pct_6m_lag",0,0,0,1.09747372141387e-05
"wages_9m_pct_9m_lag",0,0,0,1.25854485949982e-05
"wages_24ma",0,0,0,9.97043758632759e-06
"wages_raw",0,0,0,4.00698573790341e-05
"saving_1m_pct",0,0,0,9.05805925991715e-06
"saving_3m_pct",0,0,0,1.23086353026384e-05
"saving_9m_pct",0,0,0,1.37539381733604e-05
"saving_3m_pct_6m_lag",6.25805817854234e-08,0,0,6.63490847789924e-05
"saving_9m_pct_9m_lag",0,0,0,1.1385621687257e-05
"saving_24ma",0,0,0,9.00459652969813e-06
"saving_raw",0,0,0,6.18853826817284e-05
"pce_1m_pct",0,0,0,1.35351969400877e-05
"pce_3m_pct",0,0,0,1.57058486853253e-05
"pce_9m_pct",0,0,0,9.11999134916544e-05
"pce_3m_pct_6m_lag",0,0,0,9.21802943540825e-06
"pce_9m_pct_9m_lag",2.59863187985614e-07,0,0,0.000683030104436589
"pce_24ma",0,0,0,1.10368926818825e-05
"pce_raw",0,0,0,1.30334376433953e-05
"unemp_1m_pct",0,0,0,2.07133478884875e-05
"unemp_3m_pct",0,0,0,1.24521589647083e-05
"unemp_9m_pct",-4.71058890713258e-08,0,0,6.89256128709331e-05
"unemp_3m_pct_6m_lag",0,0,0,9.08061115145263e-06
"unemp_9m_pct_9m_lag",-7.65612949797474e-07,0,0,0.00213236482325685
"unemp_24ma",0,0,0,1.39601611530351e-05
"unemp_raw",0,0,0,0.000109663628788458
"i_claims_1m_pct",0,0,0,9.35748029341511e-06
"i_claims_3m_pct",0,0,0,9.21682758982322e-06
"i_claims_9m_pct",0,0,0,1.53388123697026e-05
"i_claims_3m_pct_6m_lag",0,0,0,1.70376436522109e-05
"i_claims_9m_pct_9m_lag",0,0,0,2.46222343759776e-05
"i_claims_24ma",0,0,0,9.67547125926657e-06
"i_claims_raw",0,0,0,1.03268088434653e-05
"c_claims_1m_pct",0,0,0,1.48159727322136e-05
"c_claims_3m_pct",0,0,0,1.04609127857764e-05
"c_claims_9m_pct",0,0,0,1.7485131781074e-05
"c_claims_3m_pct_6m_lag",0,0,0,1.03492134674285e-05
"c_claims_9m_pct_9m_lag",0,0,0,0.000191355660339083
"c_claims_24ma",0,0,0,1.20553497610849e-05
"c_claims_raw",0,0,0,1.78348616790782e-05
"job_open_1m_pct",0,0,0,1.22569567618751e-05
"job_open_3m_pct",0,0,0,1.16193547032141e-05
"job_open_9m_pct",0,0,0,4.35607234341689e-05
"job_open_3m_pct_6m_lag",7.841611667041e-08,0,0,0.000205105754679479
"job_open_9m_pct_9m_lag",0,0,0,2.27252265263429e-05
"job_open_24ma",0,0,0,1.54121649678447e-05
"job_open_raw",0,0,0,1.50583625968701e-05
"sticky_1m_pct",0,0,0,0.000117072313346688
"sticky_3m_pct",0,0,0,9.65825207074365e-05
"sticky_9m_pct",3.02482068260606e-08,0,0,7.96013776190703e-05
"sticky_3m_pct_6m_lag",0,0,0,1.10804639657864e-05
"sticky_9m_pct_9m_lag",0,0,0,2.74322197426156e-05
"sticky_24ma",0,0,0,0.000157352562363733
"sticky_raw",0,0,0,1.1811644230575e-05
"ppi_1m_pct",0,0,0,1.15608516806976e-05
"ppi_3m_pct",0,0,0,2.80202682154542e-05
"ppi_9m_pct",0,0,0,0.000100051182024299
"ppi_3m_pct_6m_lag",0,0,0,2.67840115594808e-05
"ppi_9m_pct_9m_lag",0,0,0,1.73145271050019e-05
"ppi_24ma",0,0,0,9.79415817847375e-06
"ppi_raw",0,0,0,2.68477624991322e-05
"copper_1m_pct",0,0,0,2.26867875309163e-05
"copper_3m_pct",0,0,0,9.02838842953226e-06
"copper_9m_pct",0,0,0,9.85968829460202e-06
"copper_3m_pct_6m_lag",0,0,0,1.01000797611587e-05
"copper_9m_pct_9m_lag",0,0,0,4.57851162888934e-05
"copper_24ma",0,0,0,1.85582980479953e-05
"copper_raw",0,0,0,9.09826036567599e-06
"wheat_1m_pct",5.36682288603196e-07,0,0,0.0015942724485671
"wheat_3m_pct",1.13962007395128e-07,0,0,0.000271203832568639
"wheat_9m_pct",0,0,0,2.42491862264538e-05
"wheat_3m_pct_6m_lag",0,0,0,9.820823852579e-06
"wheat_9m_pct_9m_lag",0,0,0,1.06059826891792e-05
"wheat_24ma",3.59373754542939e-07,0,0,0.00146235297824586
"wheat_raw",0,0,0,1.00706895733905e-05
"housing_1m_pct",0,0,0,1.64510135917101e-05
"housing_3m_pct",0,0,0,0.000167928338334078
"housing_9m_pct",6.87247190219605e-08,0,0,0.000183903138854786
"housing_3m_pct_6m_lag",0,0,0,0.000131784456556745
"housing_9m_pct_9m_lag",0,0,0,2.15622290163903e-05
"housing_24ma",0,0,0,9.27777226646051e-06
"housing_raw",0,0,0,1.38111281090427e-05
"fuel_1m_pct",0,0,0,8.05272016462807e-05
"fuel_3m_pct",0,0,0,1.09127439394066e-05
"fuel_9m_pct",0,0,0,3.79839125599002e-05
"fuel_3m_pct_6m_lag",0,0,0,1.15363825819557e-05
"fuel_9m_pct_9m_lag",0,0,0,9.61944394641375e-06
"fuel_24ma",0,0,0,5.94844334327217e-05
"fuel_raw",0,0,0,3.10480860087079e-05
"gov_s_1m_pct",0,0,0,1.34808620971678e-05
"gov_s_3m_pct",0,0,0,9.11413740860012e-06
"gov_s_9m_pct",0,0,0,9.85283815842145e-06
"gov_s_3m_pct_6m_lag",0,0,0,9.17480577294373e-06
"gov_s_9m_pct_9m_lag",0,0,0,2.09487495472631e-05
"gov_s_24ma",0,0,0,1.42133457489041e-05
"gov_s_raw",0,0,0,9.76517447636169e-06
"cur_acc_1m_pct",0,0,0,9.03317337506788e-06
"cur_acc_3m_pct",0,0,0,9.48791256813641e-06
"cur_acc_9m_pct",0,0,0,1.15107072485667e-05
"cur_acc_3m_pct_6m_lag",0,0,0,9.90723754998641e-06
"cur_acc_9m_pct_9m_lag",0,0,0,1.30752577826512e-05
"cur_acc_24ma",0,0,0,9.12256762617456e-06
"cur_acc_raw",0,0,0,1.1462475299729e-05
"trades_1m_pct",0,0,0,0.000122808939113607
"trades_3m_pct",0,0,0,1.37650602586941e-05
"trades_9m_pct",0,0,0,1.27861348896888e-05
"trades_3m_pct_6m_lag",0,0,0,8.98196292056248e-06
"trades_9m_pct_9m_lag",0,0,0,6.38432131421818e-05
"trades_24ma",1.07087235918552e-08,0,0,0.000132719771777272
"trades_raw",0,0,0,2.32315859245986e-05
"taxes_1m_pct",0,0,0,1.39454878748449e-05
"taxes_3m_pct",2.87607118702464e-08,0,0,8.22505126529994e-05
"taxes_9m_pct",2.34956726716322e-07,0,0,0.000911481197957981
"taxes_3m_pct_6m_lag",5.24102062824833e-08,0,0,0.000221839690574788
"taxes_9m_pct_9m_lag",0,0,0,1.54042997813252e-05
"taxes_24ma",0,0,0,1.08699528121707e-05
"taxes_raw",0,0,0,1.20523944234743e-05
"gdp_1m_pct",0,0,0,9.06796635753396e-06
"gdp_3m_pct",0,0,0,1.2729783307845e-05
"gdp_9m_pct",1.03228756171041e-07,0,0,0.000434345348427306
"gdp_3m_pct_6m_lag",1.73523885120299e-06,0,0,0.00431855607403087
"gdp_9m_pct_9m_lag",0,0,0,5.88925564568094e-05
"gdp_24ma",0,0,0,9.1173660171712e-06
"gdp_raw",0,0,0,1.26400333350495e-05
"phi",5.18722733121356e-06,4.57669359135676e-06,5.87478987880802e-06,1
