"","x"
"Intercept",0.00317503303825329
"month",0
"jan-sep",0
"oct-dec",0
"cpi_lag1",0.000805889257885203
"cpi_3ema",0
"cpi_9ema",0
"cpi_50ema",0
"usd_1m_pct",0
"usd_3m_pct",0
"usd_9m_pct",0
"usd_3m_pct_6m_lag",0
"usd_9m_pct_9m_lag",0
"usd_24ma",0
"usd_raw",0
"wti_1m_pct",0
"wti_3m_pct",0.000808595222574133
"wti_9m_pct",0
"wti_3m_pct_6m_lag",0
"wti_9m_pct_9m_lag",0
"wti_24ma",0
"wti_raw",0
"gas_1m_pct",0
"gas_3m_pct",0
"gas_9m_pct",0
"gas_3m_pct_6m_lag",0
"gas_9m_pct_9m_lag",0
"gas_24ma",0
"gas_raw",0
"dji_1m_pct",0
"dji_3m_pct",0
"dji_9m_pct",0
"dji_3m_pct_6m_lag",0
"dji_9m_pct_9m_lag",0
"dji_24ma",0
"dji_raw",0
"ffr_1m_pct",6.62794886436736e-05
"ffr_3m_pct",0
"ffr_9m_pct",0
"ffr_3m_pct_6m_lag",0
"ffr_9m_pct_9m_lag",0
"ffr_24ma",0
"ffr_raw",0.000343823488977517
"vehic_1m_pct",5.29352176231812e-05
"vehic_3m_pct",0
"vehic_9m_pct",6.04513740833997e-05
"vehic_3m_pct_6m_lag",0
"vehic_9m_pct_9m_lag",0
"vehic_24ma",0
"vehic_raw",0
"m2_1m_pct",0
"m2_3m_pct",0
"m2_9m_pct",0
"m2_3m_pct_6m_lag",0
"m2_9m_pct_9m_lag",0
"m2_24ma",0
"m2_raw",0
"m2v_1m_pct",0
"m2v_3m_pct",0
"m2v_9m_pct",0
"m2v_3m_pct_6m_lag",0
"m2v_9m_pct_9m_lag",0
"m2v_24ma",0
"m2v_raw",0
"chn_trd_1m_pct",0
"chn_trd_3m_pct",0
"chn_trd_9m_pct",0
"chn_trd_3m_pct_6m_lag",6.74182762791558e-05
"chn_trd_9m_pct_9m_lag",9.8630200925632e-05
"chn_trd_24ma",0
"chn_trd_raw",0
"wages_1m_pct",0
"wages_3m_pct",0
"wages_9m_pct",0
