,coefs
Intercept,0.003175033038253247
month,-0.0
jan-sep,0.0
oct-dec,-0.0
cpi_lag1,0.0007498397432042814
cpi_3ema,0.0
cpi_9ema,0.0
cpi_50ema,0.0
usd_1m_pct,-0.0
usd_3m_pct,-0.0
usd_9m_pct,-0.0
usd_3m_pct_6m_lag,-0.0
usd_9m_pct_9m_lag,-0.0
usd_24ma,-0.0
usd_raw,-0.0
wti_1m_pct,0.0
wti_3m_pct,0.0008566207629529981
wti_9m_pct,0.0
wti_3m_pct_6m_lag,0.0
wti_9m_pct_9m_lag,-0.0
wti_24ma,0.0
wti_raw,-0.0
gas_1m_pct,-0.0
gas_3m_pct,2.6500717896381658e-05
gas_9m_pct,0.0
gas_3m_pct_6m_lag,-0.0
gas_9m_pct_9m_lag,0.0
gas_24ma,-0.0
gas_raw,0.0
dji_1m_pct,-4.103121758542132e-05
dji_3m_pct,-0.0
dji_9m_pct,-0.0
dji_3m_pct_6m_lag,-0.0
dji_9m_pct_9m_lag,0.0
dji_24ma,-0.0
dji_raw,-0.0
ffr_1m_pct,8.461293251838408e-05
ffr_3m_pct,0.0
ffr_9m_pct,0.0
ffr_3m_pct_6m_lag,0.0
ffr_9m_pct_9m_lag,0.0
ffr_24ma,0.0
ffr_raw,0.0003874714180186158
vehic_1m_pct,9.269063036909625e-05
vehic_3m_pct,0.0
vehic_9m_pct,0.0001005018908985733
vehic_3m_pct_6m_lag,0.0
vehic_9m_pct_9m_lag,0.0
vehic_24ma,0.0
vehic_raw,-0.0
m2_1m_pct,0.0
m2_3m_pct,0.0
m2_9m_pct,0.0
m2_3m_pct_6m_lag,0.0
m2_9m_pct_9m_lag,0.0
m2_24ma,-0.0
m2_raw,-0.0
m2v_1m_pct,0.0
m2v_3m_pct,0.0
m2v_9m_pct,0.0
m2v_3m_pct_6m_lag,0.0
m2v_9m_pct_9m_lag,-0.0
m2v_24ma,0.0
m2v_raw,-0.0
chn_trd_1m_pct,0.0
chn_trd_3m_pct,0.0
chn_trd_9m_pct,0.0
chn_trd_3m_pct_6m_lag,5.310005277171133e-05
chn_trd_9m_pct_9m_lag,0.00013771053998814646
chn_trd_24ma,-0.0
chn_trd_raw,-0.0
wages_1m_pct,0.0
wages_3m_pct,0.0
wages_9m_pct,-0.0
wages_3m_pct_6m_lag,-0.0
wages_9m_pct_9m_lag,-0.0
wages_24ma,0.0
wages_raw,0.0
saving_1m_pct,-0.0
saving_3m_pct,0.0
saving_9m_pct,0.0
saving_3m_pct_6m_lag,0.0
saving_9m_pct_9m_lag,-0.0
saving_24ma,-0.0
saving_raw,7.499161008753878e-06
pce_1m_pct,0.0
pce_3m_pct,0.0
pce_9m_pct,0.0
pce_3m_pct_6m_lag,0.0
pce_9m_pct_9m_lag,6.503666108842142e-05
pce_24ma,0.0
pce_raw,-0.0
unemp_1m_pct,-0.0
unemp_3m_pct,-0.0
unemp_9m_pct,-0.0
unemp_3m_pct_6m_lag,0.0
unemp_9m_pct_9m_lag,-0.0
unemp_24ma,-0.0
unemp_raw,-0.0
i_claims_1m_pct,-0.0
i_claims_3m_pct,0.0
i_claims_9m_pct,-0.0
i_claims_3m_pct_6m_lag,-0.0
i_claims_9m_pct_9m_lag,-0.0
i_claims_24ma,-0.0
i_claims_raw,-0.0
c_claims_1m_pct,-0.0
c_claims_3m_pct,-0.0
c_claims_9m_pct,-0.0
c_claims_3m_pct_6m_lag,0.0
c_claims_9m_pct_9m_lag,-0.0
c_claims_24ma,-0.0
c_claims_raw,-0.0
job_open_1m_pct,-0.0
job_open_3m_pct,0.0
job_open_9m_pct,0.0
job_open_3m_pct_6m_lag,0.0
job_open_9m_pct_9m_lag,0.0
job_open_24ma,-0.0
job_open_raw,0.0
sticky_1m_pct,0.0
sticky_3m_pct,0.0
sticky_9m_pct,0.0
sticky_3m_pct_6m_lag,0.0
sticky_9m_pct_9m_lag,0.0
sticky_24ma,0.0
sticky_raw,0.00031829745018384885
ppi_1m_pct,0.0
ppi_3m_pct,1.925899072587151e-05
ppi_9m_pct,0.00031673099609177177
ppi_3m_pct_6m_lag,0.0
ppi_9m_pct_9m_lag,0.00012612188455058795
ppi_24ma,0.0
ppi_raw,-0.0
copper_1m_pct,0.0
copper_3m_pct,0.0
copper_9m_pct,0.0
copper_3m_pct_6m_lag,-0.0
copper_9m_pct_9m_lag,0.0
copper_24ma,0.0
copper_raw,0.0
wheat_1m_pct,4.9392446609353074e-05
wheat_3m_pct,0.0
wheat_9m_pct,0.0
wheat_3m_pct_6m_lag,-0.0
wheat_9m_pct_9m_lag,-0.0
wheat_24ma,0.0
wheat_raw,0.0
housing_1m_pct,0.0
housing_3m_pct,0.0
housing_9m_pct,0.0
housing_3m_pct_6m_lag,0.0
housing_9m_pct_9m_lag,0.0
housing_24ma,-0.0
housing_raw,-0.0
fuel_1m_pct,-0.0
fuel_3m_pct,0.0
fuel_9m_pct,-0.0
fuel_3m_pct_6m_lag,-0.0
fuel_9m_pct_9m_lag,0.0
fuel_24ma,-0.0
fuel_raw,-0.0
gov_s_1m_pct,-0.0
gov_s_3m_pct,-0.0
gov_s_9m_pct,0.0
gov_s_3m_pct_6m_lag,0.0
gov_s_9m_pct_9m_lag,0.0
gov_s_24ma,-0.0
gov_s_raw,-0.0
cur_acc_1m_pct,0.0
cur_acc_3m_pct,-0.0
cur_acc_9m_pct,0.0
cur_acc_3m_pct_6m_lag,0.0
cur_acc_9m_pct_9m_lag,-0.0
cur_acc_24ma,0.0
cur_acc_raw,0.0
trades_1m_pct,0.0
trades_3m_pct,0.0
trades_9m_pct,0.0
trades_3m_pct_6m_lag,0.0
trades_9m_pct_9m_lag,-0.0
trades_24ma,0.0
trades_raw,0.0
taxes_1m_pct,0.0
taxes_3m_pct,0.0
taxes_9m_pct,0.0
taxes_3m_pct_6m_lag,2.998747475700387e-06
taxes_9m_pct_9m_lag,0.0
taxes_24ma,0.0
taxes_raw,-0.0
gdp_1m_pct,0.0
gdp_3m_pct,0.0
gdp_9m_pct,0.0
gdp_3m_pct_6m_lag,0.00012901205571828062
gdp_9m_pct_9m_lag,0.0
gdp_24ma,-0.0
gdp_raw,-0.0
