"","x"
"intercept",0.00317503303825325
"pca_0",-0.0017192725436929
"pca_1",-0.000299487706813631
"pca_2",0.000452446829210143
"pca_3",0.000999832019356029
"pca_4",-9.09895917139168e-09
"pca_5",-0.000508987061395863
"pca_6",2.29553728459904e-07
"pca_7",3.25685175542809e-06
"pca_8",-1.15604575913271e-06
"pca_9",0
"pca_10",0
"pca_11",-3.02113921639964e-07
"pca_12",-3.50897441146261e-05
"pca_13",-0.000103880256512197
"pca_14",1.20978177058412e-06
"pca_15",0
"pca_16",4.00596552290711e-07
"pca_17",0
"pca_18",-5.12650841093381e-05
"pca_19",5.82946631146908e-06
"pca_20",-6.56851315893552e-08
"pca_21",0
"pca_22",0
"pca_23",0
"pca_24",0
"pca_25",4.54585349019445e-06
"pca_26",0
"pca_27",0
"pca_28",-2.44726221759648e-08
"pca_29",0
"pca_30",6.84879763825313e-08
"pca_31",0
"pca_32",3.87003077066266e-08
"pca_33",0
"pca_34",0
"pca_35",0
"pca_36",0
"pca_37",4.10579118756126e-09
"pca_38",0
"pca_39",0
"pca_40",-1.77635488279395e-07
"pca_41",0
"pca_42",-8.63656715615806e-09
"pca_43",0
"pca_44",0
"pca_45",0
"pca_46",0
"pca_47",2.54339514815924e-08
"pca_48",0
"pca_49",0
"pca_50",0
