"","estimate","2.5%","97.5%","margpp"
"intercept",0.00317503303825325,0.00317503303825325,0.00317503303825325,1
"pca_0",-0.00172034152770154,-0.00188897029182782,-0.00155170908531778,1
"pca_1",-0.00029925760925017,-0.000644829811580263,0,0.600196183462215
"pca_2",0.000454170694455212,0,0.000697707912113859,0.845158603686495
"pca_3",0.00100133063085784,0.000833139509992537,0.00117093424147778,0.999999999992962
"pca_4",0,0,0,0.000105430132646401
"pca_5",-0.000509200504035293,-0.00072185687680118,0,0.913360223568344
"pca_6",1.26190811363164e-07,0,0,0.00175579984230679
"pca_7",2.73089358304271e-06,0,0,0.00920322126925495
"pca_8",-9.16390992118402e-07,0,0,0.00461415751023582
"pca_9",0,0,0,0.000109971478264193
"pca_10",0,0,0,0.000122269020642332
"pca_11",-1.928913339028e-07,0,0,0.0015905349957679
"pca_12",-3.70570801440547e-05,-0.000456929981179822,0,0.0870126978806982
"pca_13",-0.000103925708947045,-0.000551537937010963,0,0.232698373318388
"pca_14",1.42512362089191e-06,0,0,0.00525319459407679
"pca_15",-2.10510697600332e-08,0,0,0.000414447572927822
"pca_16",2.861994945835e-07,0,0,0.00275209322308632
"pca_17",0,0,0,0.000102936335778153
"pca_18",-5.23852377725848e-05,-0.000494153040487779,0,0.123569616668747
"pca_19",5.48886552602928e-06,0,0,0.0191758821828715
"pca_20",-4.9817101539145e-08,0,0,0.00158835207609941
"pca_21",0,0,0,0.000106035213904536
"pca_22",0,0,0,0.000115665753444141
"pca_23",0,0,0,0.00021277549859683
"pca_24",0,0,0,0.000117679058550971
"pca_25",4.65261092047681e-06,0,0,0.0154079731788762
"pca_26",0,0,0,0.000107746866361667
"pca_27",0,0,0,0.000104262131470369
"pca_28",0,0,0,0.000480476311967714
"pca_29",-1.75397092077871e-08,0,0,0.000428086252399275
"pca_30",1.79856906212499e-08,0,0,0.00092172737505999
"pca_31",0,0,0,0.00010545650702107
"pca_32",5.36296258003682e-08,0,0,0.000457303902320598
"pca_33",0,0,0,0.000179489266217282
"pca_34",0,0,0,0.000173511744409942
"pca_35",0,0,0,0.000127481915170128
"pca_36",0,0,0,0.000130858008400142
"pca_37",0,0,0,0.000107575199147515
"pca_38",0,0,0,0.000293855591684924
"pca_39",0,0,0,0.000124743529041076
"pca_40",-1.44051918438889e-07,0,0,0.00223540861097093
"pca_41",0,0,0,0.000183970610281163
"pca_42",0,0,0,0.000201811957425502
"pca_43",0,0,0,0.000114747790180423
"pca_44",0,0,0,0.000223799081291846
"pca_45",0,0,0,0.000117623993329468
"pca_46",0,0,0,0.00010916106328669
"pca_47",0,0,0,0.000326157224608281
"pca_48",0,0,0,0.000166326093278679
"pca_49",0,0,0,0.000285619508543649
"pca_50",0,0,0,0.000148702025115386
"phi",6.34061806530968e-06,5.45368677837704e-06,7.37428814734209e-06,1
