"","x"
"Intercept",0.00317503303825325
"pca_0",-0.00151793989226543
"pca_1",-0.000295981881369355
"pca_2",0.00033510994513814
"pca_3",0.00079787417241029
"pca_4",0
"pca_5",-0.000353547938843821
"pca_6",6.3776654668483e-05
"pca_7",0.000132200559931044
"pca_8",-0.000105527946231459
"pca_9",0
"pca_10",0
"pca_11",-5.91525060841814e-05
"pca_12",-0.000210281314456497
"pca_13",-0.000246003043240484
"pca_14",0.000110730379500668
"pca_15",0
"pca_16",8.39833525517018e-05
"pca_17",0
"pca_18",-0.000222312146102762
"pca_19",0.000158573892110669
"pca_20",-5.90948441606497e-05
"pca_21",0
"pca_22",0
"pca_23",0
"pca_24",0
"pca_25",0.00015089379971755
"pca_26",0
"pca_27",0
"pca_28",0
"pca_29",0
"pca_30",3.18106867863084e-05
"pca_31",0
"pca_32",0
"pca_33",0
"pca_34",0
"pca_35",0
"pca_36",0
"pca_37",0
"pca_38",0
"pca_39",0
"pca_40",-7.48207998916269e-05
"pca_41",0
"pca_42",0
"pca_43",0
"pca_44",0
"pca_45",0
"pca_46",0
"pca_47",0
"pca_48",0
"pca_49",0
"pca_50",0
