,coefs
Intercept,0.003175033038253247
pca_0,-0.0016590393638427111
pca_1,-0.000437081352946634
pca_2,0.00047620941671541907
pca_3,0.0009389736439875707
pca_4,-0.0
pca_5,-0.0004946474104211003
pca_6,0.0002048761262457623
pca_7,0.00027330003150832354
pca_8,-0.00024662741780873804
pca_9,-0.0
pca_10,-4.7534257485318375e-06
pca_11,-0.00020025197766146107
pca_12,-0.00035138078603377685
pca_13,-0.0003871025148177636
pca_14,0.0002518298510779473
pca_15,-0.00012561677246618325
pca_16,0.00022508282412898122
pca_17,-0.0
pca_18,-0.00036341161768004205
pca_19,0.00029967336368794866
pca_20,-0.0002001943157379291
pca_21,0.0
pca_22,-0.0
pca_23,-7.383493352419765e-05
pca_24,0.0
pca_25,0.00029199327129482953
pca_26,0.0
pca_27,-0.0
pca_28,-0.00013523440425352033
pca_29,-0.00012776292776460032
pca_30,0.000172910158363588
pca_31,0.0
pca_32,0.00013207794028487929
pca_33,-5.701874745778031e-05
pca_34,-5.336846038164501e-05
pca_35,1.2279002700205628e-05
pca_36,1.6603804392606523e-05
pca_37,-0.0
pca_38,0.0001010075280299319
pca_39,-8.472963353525408e-06
pca_40,-0.00021592027146890595
pca_41,5.960080871698768e-05
pca_42,-6.88418742293458e-05
pca_43,0.0
pca_44,7.844086775123762e-05
pca_45,0.0
pca_46,0.0
pca_47,0.00010884976191365414
pca_48,-4.864295882949627e-05
pca_49,-9.879685203340826e-05
pca_50,-3.5019203468114886e-05
