,coefs
Intercept,0.003175033038253247
pca_0,-0.0
pca_1,0.0
pca_2,0.0
pca_3,0.0
pca_4,0.0
pca_5,-0.0
pca_6,-0.0
pca_7,-0.0
pca_8,-0.0
pca_9,0.0
pca_10,-0.0
pca_11,0.0
pca_12,-0.0
pca_13,-0.0
pca_14,0.0
pca_15,0.0
pca_16,0.0
pca_17,0.0
pca_18,-0.0
pca_19,-0.0
pca_20,-0.0
pca_21,0.0
pca_22,0.0
pca_23,-0.0
pca_24,-0.0
pca_25,-0.0
pca_26,0.0
pca_27,0.0
pca_28,0.0
pca_29,0.0
pca_30,-0.0
pca_31,-0.0
pca_32,0.0
pca_33,-0.0
pca_34,-0.0
pca_35,-0.0
pca_36,-0.0
pca_37,-0.0
pca_38,0.0
pca_39,-0.0
pca_40,0.0
pca_41,-0.0
pca_42,0.0
pca_43,-0.0
pca_44,-0.0
pca_45,0.0
pca_46,0.0
pca_47,0.0
pca_48,-0.0
pca_49,-0.0
pca_50,-0.0
