,coefs
Intercept,0.003175033038253247
pca_0,-0.0017203984365768434
pca_1,-0.000498440425680766
pca_2,0.0005375684894495516
pca_3,0.0010003327167217026
pca_4,-2.541436525262293e-05
pca_5,-0.0005560064831552326
pca_6,0.0002662351989798944
pca_7,0.0003346591042424558
pca_8,-0.00030798649054287
pca_9,-4.130001777111891e-05
pca_10,-6.611249848266421e-05
pca_11,-0.0002616110503955925
pca_12,-0.0004127398587679084
pca_13,-0.0004484615875518949
pca_14,0.00031318892381207924
pca_15,-0.0001869758452003155
pca_16,0.0002864418968631135
pca_17,-6.659751978228259e-06
pca_18,-0.0004247706904141734
pca_19,0.00036103243642208045
pca_20,-0.0002615533884720612
pca_21,2.81163686204616e-05
pca_22,-5.455252460388926e-05
pca_23,-0.00013519400625832932
pca_24,5.839416862364223e-05
pca_25,0.0003533523440289613
pca_26,3.453283006703093e-05
pca_27,-1.9143478810685493e-05
pca_28,-0.0001965934769876519
pca_29,-0.00018912200049873252
pca_30,0.0002342692310977204
pca_31,2.553430673114178e-05
pca_32,0.0001934370130190114
pca_33,-0.00011837782019191163
pca_34,-0.00011472753311577665
pca_35,7.363807543433707e-05
pca_36,7.796287712673815e-05
pca_37,-3.3994237474941736e-05
pca_38,0.00016236660076406393
pca_39,-6.983203608765669e-05
pca_40,-0.00027727934420303745
pca_41,0.00012095988145111894
pca_42,-0.0001302009469634775
pca_43,5.2682588119187487e-05
pca_44,0.00013979994048536886
pca_45,5.829148820747575e-05
pca_46,3.8988690614947486e-05
pca_47,0.00017020883464778582
pca_48,-0.00011000203156362852
pca_49,-0.0001601559247675401
pca_50,-9.637827620224645e-05
