,coefs
Intercept,0.003175033038253247
pca_0,-0.0014274424423684326
pca_1,-0.0004135640927601681
pca_2,0.0004460292808955373
pca_3,0.0008299922541079902
pca_4,-2.1086710401592144e-05
pca_5,-0.00046132758285167034
pca_6,0.0002208996559148705
pca_7,0.000277672078144408
pca_8,-0.00025554137863072836
pca_9,-3.426729354298155e-05
pca_10,-5.4854610594129986e-05
pca_11,-0.00021706292495260368
pca_12,-0.00034245694458706264
pca_13,-0.0003720958414245275
pca_14,0.0002598579217606064
pca_15,-0.0001551368865852364
pca_16,0.00023766548036889356
pca_17,-5.525704062069394e-06
pca_18,-0.00035243912042711903
pca_19,0.00029955445893451436
pca_20,-0.00021701508192089195
pca_21,2.3328606351201095e-05
pca_22,-4.52631130686688e-05
pca_23,-0.00011217265627777913
pca_24,4.84505873221204e-05
pca_25,0.00029318216190716813
pca_26,2.8652448319389424e-05
pca_27,-1.588365437213751e-05
pca_28,-0.00016311679142381154
pca_29,-0.00015691758639043384
pca_30,0.00019437697471713978
pca_31,2.1186227788610372e-05
pca_32,0.00016049782215433816
pca_33,-9.821999438293862e-05
pca_34,-9.519129208437584e-05
pca_35,6.109870365753863e-05
pca_36,6.468706165607516e-05
pca_37,-2.8205569323950415e-05
pca_38,0.0001347181979628374
pca_39,-5.794077117790591e-05
pca_40,-0.00023006316205160222
pca_41,0.00010036237242271517
pca_42,-0.00010802983412495547
pca_43,4.371159648620373e-05
pca_44,0.00011599427449286906
pca_45,4.836539171805584e-05
pca_46,3.2349547972669164e-05
pca_47,0.00014122502641060025
pca_48,-9.12704669234108e-05
pca_49,-0.00013288396428959518
pca_50,-7.996661648166375e-05
