"","estimate","2.5%","97.5%","margpp"
"intercept",0.00317503303825325,0.00317503303825325,0.00317503303825325,1
"pca_0",-0.00172013693359855,-0.00188372803494469,-0.001554986484963,1
"pca_1",-0.000192956111230879,-0.000620719916417716,0,0.390314697226782
"pca_2",0.000378422561183041,0,0.000685524730653425,0.707929013346985
"pca_3",0.000999911886225434,0.000839183086358601,0.00116482365592194,0.999999999986904
"pca_4",0,0,0,2.71035055592833e-05
"pca_5",-0.000458531919764871,-0.000713611772329807,0,0.822621032486126
"pca_6",0,0,0,0.000496924411519697
"pca_7",8.11053180752164e-07,0,0,0.00278429165406819
"pca_8",-3.16028106249323e-07,0,0,0.00135513356175618
"pca_9",0,0,0,2.83088021578549e-05
"pca_10",0,0,0,3.15846794477723e-05
"pca_11",0,0,0,0.00044879894429
"pca_12",-1.36446688251668e-05,-0.000362619858165771,0,0.0316421278220055
"pca_13",-4.3696688566586e-05,-0.000495598071274924,0,0.10225038301445
"pca_14",1.30998901522944e-07,0,0,0.00155291166338655
"pca_15",0,0,0,0.000111565917837044
"pca_16",3.87858243226192e-08,0,0,0.000792727897717946
"pca_17",0,0,0,2.6442113768776e-05
"pca_18",-1.75139643008987e-05,-0.000403784692171647,0,0.0472462072428551
"pca_19",1.77267549608938e-06,0,0,0.00602797567910732
"pca_20",-1.74994269798823e-08,0,0,0.000448378804907231
"pca_21",0,0,0,2.72650311197096e-05
"pca_22",0,0,0,2.98259660284789e-05
"pca_23",0,0,0,5.59969312753907e-05
"pca_24",0,0,0,3.03613696839791e-05
"pca_25",1.21227109557166e-06,0,0,0.00478631419679423
"pca_26",0,0,0,2.77188072312776e-05
"pca_27",0,0,0,2.67942798966908e-05
"pca_28",0,0,0,0.00013000888984748
"pca_29",0,0,0,0.000115375118350286
"pca_30",5.74323022174918e-08,0,0,0.000255119008395121
"pca_31",0,0,0,2.71103233375308e-05
"pca_32",0,0,0,0.000123542950935279
"pca_33",0,0,0,4.6966422935338e-05
"pca_34",0,0,0,4.53519063362427e-05
"pca_35",0,0,0,3.29810742781799e-05
"pca_36",0,0,0,3.38822763851399e-05
"pca_37",0,0,0,2.76768347879283e-05
"pca_38",0,0,0,7.81808732478018e-05
"pca_39",0,0,0,3.22489615426612e-05
"pca_40",-9.59724449583851e-08,0,0,0.000638782371417396
"pca_41",0,0,0,4.81816858348234e-05
"pca_42",0,0,0,5.30189579562117e-05
"pca_43",0,0,0,2.95812311378167e-05
"pca_44",0,0,0,5.9000433285134e-05
"pca_45",0,0,0,3.03475724576409e-05
"pca_46",0,0,0,2.80943831545729e-05
"pca_47",0,0,0,8.70893655180576e-05
"pca_48",0,0,0,4.34113458043168e-05
"pca_49",0,0,0,7.59150153288488e-05
"pca_50",0,0,0,3.86664593350913e-05
"pca_51",0,0,0,3.50203604885487e-05
"pca_52",0,0,0,5.28884517693089e-05
"pca_53",0,0,0,3.47475015934163e-05
"pca_54",0,0,0,9.31268283014165e-05
"pca_55",0,0,0,2.95104082710798e-05
"pca_56",0,0,0,2.82436135133415e-05
"pca_57",0,0,0,2.64489034658288e-05
"pca_58",0,0,0,3.24031003902817e-05
"pca_59",0,0,0,4.98968547122481e-05
"pca_60",0,0,0,0.000226968460333395
"pca_61",0,0,0,2.64108637242516e-05
"pca_62",0,0,0,2.64046349352012e-05
"pca_63",0,0,0,4.3020655047623e-05
"pca_64",0,0,0,3.91156473747889e-05
"pca_65",0,0,0,2.95349725207591e-05
"pca_66",0,0,0,4.09190168125308e-05
"pca_67",0,0,0,2.64000295824675e-05
"pca_68",0,0,0,2.6847472840384e-05
"pca_69",-6.24626245934039e-07,0,0,0.00343417556326465
"pca_70",0,0,0,2.71093186258476e-05
"pca_71",0,0,0,2.82004967823744e-05
"pca_72",0,0,0,3.5643978334072e-05
"pca_73",0,0,0,3.42823832157759e-05
"pca_74",0,0,0,2.74499856329267e-05
