"","x"
"Intercept",0.00317503303825325
"pca_0",-0.00171827744897377
"pca_1",-0.000496319438077691
"pca_2",0.000535447501846476
"pca_3",0.000998211729118627
"pca_4",-2.32933776495483e-05
"pca_5",-0.000553885495552157
"pca_6",0.000264114211376819
"pca_7",0.00033253811663938
"pca_8",-0.000305865502939795
"pca_9",-3.91790301680435e-05
"pca_10",-6.39915108795887e-05
"pca_11",-0.000259490062792518
"pca_12",-0.000410618871164833
"pca_13",-0.000446340599948821
"pca_14",0.000311067936209004
"pca_15",-0.00018485485759724
"pca_16",0.000284320909260038
"pca_17",-4.5387643751534e-06
"pca_18",-0.000422649702811098
"pca_19",0.000358911448819006
"pca_20",-0.000259432400868986
"pca_21",2.59953810173869e-05
"pca_22",-5.24315370008135e-05
"pca_23",-0.000133073018655254
"pca_24",5.62731810205668e-05
"pca_25",0.000351231356425886
"pca_26",3.24118424639556e-05
"pca_27",-1.702249120761e-05
"pca_28",-0.000194472489384577
"pca_29",-0.000187001012895657
"pca_30",0.000232148243494645
"pca_31",2.34133191280671e-05
"pca_32",0.000191316025415936
"pca_33",-0.000116256832588837
"pca_34",-0.000112606545512702
"pca_35",7.15170878312624e-05
"pca_36",7.58418895236633e-05
"pca_37",-3.18732498718673e-05
"pca_38",0.000160245613160988
"pca_39",-6.7711048484582e-05
"pca_40",-0.000275158356599963
"pca_41",0.000118838893848044
"pca_42",-0.000128079959360403
"pca_43",5.0561600516112e-05
"pca_44",0.000137678952882294
"pca_45",5.61705006044005e-05
"pca_46",3.68677030118723e-05
"pca_47",0.000168087847044711
"pca_48",-0.000107881043960553
"pca_49",-0.000158034937164465
"pca_50",-9.42572885991717e-05
"pca_51",-8.08331902406166e-05
"pca_52",0.000127853253909239
"pca_53",7.96787374207257e-05
"pca_54",-0.000172782959479991
"pca_55",5.00132789739858e-05
"pca_56",3.8487738906751e-05
"pca_57",-4.980481523657e-06
"pca_58",6.8535805519146e-05
"pca_59",-0.000122297555245735
"pca_60",0.000226067164373769
"pca_61",-1.79919356425001e-06
"pca_62",9.81145842378598e-07
"pca_63",0.000106878174164723
"pca_64",9.57069101921227e-05
"pca_65",-5.02071256744756e-05
"pca_66",0.000101147527453457
"pca_67",1.97418295609811e-07
"pca_68",1.82650052382579e-05
"pca_69",-0.000339872406166309
"pca_70",-2.33934782165134e-05
"pca_71",-3.80263493973906e-05
"pca_72",-8.33798498307861e-05
"pca_73",7.76500068902079e-05
"pca_74",-2.87832641626359e-05
"pca_75",0.000142542162521896
"pca_76",3.82734919963722e-05
"pca_77",-0.000245881506601763
"pca_78",0.000292865469718738
"pca_79",-0.000281968221488822
"pca_80",0.000351720360738305
"pca_81",-6.10481780335349e-05
"pca_82",-0.00020884934183247
"pca_83",5.37283510603271e-05
"pca_84",7.16610869814789e-05
"pca_85",0.000216131216232726
"pca_86",-2.31394591293336e-05
"pca_87",6.59981007508177e-05
"pca_88",8.77541555001195e-05
"pca_89",-0.000145970846885285
"pca_90",7.3633455817709e-05
"pca_91",-0.000122227376638129
"pca_92",8.58357682819819e-05
"pca_93",-0.000139422449131648
"pca_94",1.78026477153045e-05
"pca_95",5.45872038916178e-05
"pca_96",7.16545250935691e-05
"pca_97",-4.43910501729374e-05
"pca_98",-5.44404877815319e-05
"pca_99",0.00016063607178374
"pca_100",0.000118429296181632
"pca_101",0.000129263037792842
"pca_102",8.96016861539428e-05
"pca_103",-7.75173698715029e-05
"pca_104",-2.14291010193239e-06
"pca_105",5.43342571644241e-05
"pca_106",0.000140888579571462
"pca_107",-6.34316685199296e-05
"pca_108",0.000170405125087138
"pca_109",-4.51484012821287e-05
"pca_110",-2.09750538928336e-06
"pca_111",-4.23814435595126e-05
"pca_112",-0.000135398636820521
"pca_113",-9.95504412966952e-05
"pca_114",8.04887648312444e-05
"pca_115",-6.42170509123178e-05
"pca_116",-8.12189924869653e-05
"pca_117",1.16939583670656e-06
"pca_118",0.000179727074392769
"pca_119",-7.60897247097759e-05
"pca_120",1.86777128246133e-05
"pca_121",-0.000124398011849926
"pca_122",-3.47123888772223e-05
"pca_123",0.000121325748965851
"pca_124",-3.02871346554643e-05
"pca_125",6.60584278707699e-05
"pca_126",0.000101995769814823
"pca_127",-8.56364096370427e-05
"pca_128",6.85290955037072e-06
"pca_129",-7.17390763547143e-05
"pca_130",0.000144285076813851
"pca_131",0.000116083711810143
"pca_132",0.000146543448414789
"pca_133",0.000256549239751661
"pca_134",-8.73064138928082e-05
"pca_135",6.5876696832286e-05
"pca_136",-4.48998379686882e-05
"pca_137",3.59835263795638e-05
"pca_138",0.000147635597552399
"pca_139",-0.000143255858292528
"pca_140",0.000175439265462907
"pca_141",-9.47825215545248e-05
"pca_142",-0.000221293648826821
"pca_143",-0.000107863255926841
"pca_144",0.000112110148227889
"pca_145",6.96955295125075e-05
"pca_146",0.000173346216347889
"pca_147",9.3657019129694e-05
"pca_148",6.35410193327408e-05
"pca_149",2.77643898051924e-05
"pca_150",0.00011382530257513
"pca_151",0.000607656913498772
"pca_152",0.000112444296073173
"pca_153",-2.00197205694587e-05
"pca_154",-0.000132382716727713
"pca_155",-8.54967712873973e-05
"pca_156",-7.71379389134593e-05
"pca_157",9.33568679672611e-05
"pca_158",-6.2519546161123e-06
"pca_159",-0.000102785232659565
"pca_160",0.000123196155218505
"pca_161",-6.07633999239195e-06
"pca_162",0.000305654403567907
"pca_163",-2.87012583669692e-05
"pca_164",-9.95834841625393e-05
"pca_165",0.000131693054528342
"pca_166",0.000127833401195457
"pca_167",-7.55117821183504e-05
"pca_168",-0.000302605907534668
"pca_169",6.05778974898951e-05
"pca_170",-8.21613817063568e-05
"pca_171",6.2682665474268e-05
"pca_172",0.000106077828540625
"pca_173",-1.2562427939821e-05
"pca_174",6.71568376622172e-05
"pca_175",-0.000103586527493536
"pca_176",-3.83190636776859e-05
"pca_177",-6.41766546043321e-05
"pca_178",-0.000161956679520316
"pca_179",0.000145667927674813
"pca_180",0.000138814834701863
"pca_181",-0.000278018839408691
"pca_182",1.3513646027513e-05
"pca_183",-7.47313679287868e-05
"pca_184",-3.41819025360198e-05
"pca_185",-8.18691083812145e-05
"pca_186",4.79951792312103e-05
"pca_187",7.77562986491488e-05
"pca_188",-0.00012883713709442
"pca_189",-1.64239867982749e-05
"pca_190",-8.26663554391945e-05
"pca_191",2.13096520320682e-05
"pca_192",-6.06945627695074e-05
"pca_193",-3.20952567595545e-05
"pca_194",6.92444736553645e-06
"pca_195",9.60682934453394e-05
