,coefs
Intercept,0.003175033038253247
pca_0,-0.001067463199723709
pca_1,-0.00030926952754474496
pca_2,0.0003335474897083979
pca_3,0.0006206808492018552
pca_4,-1.5768963209180688e-05
pca_5,-0.0003449877929190394
pca_6,0.0001651921272072502
pca_7,0.000207647409249064
pca_8,-0.00019109773508090678
pca_9,-2.5625604035263352e-05
pca_10,-4.102111329074145e-05
pca_11,-0.00016232296135656636
pca_12,-0.00025609451911067486
pca_13,-0.0002782589375946219
pca_14,0.00019432571177853078
pca_15,-0.00011601372667235525
pca_16,0.0001777298660935921
pca_17,-4.132205659400244e-06
pca_18,-0.0002635593422420028
pca_19,0.0002240113868936007
pca_20,-0.00016228718360875694
pca_21,1.74454871465286e-05
pca_22,-3.384844535347386e-05
pca_23,-8.38844208619099e-05
pca_24,3.623208714850195e-05
pca_25,0.0002192460861203416
pca_26,2.14267372575708e-05
pca_27,-1.187803866280955e-05
pca_28,-0.00012198122105226345
pca_29,-0.00011734536110845177
pca_30,0.00014535806224165638
pca_31,1.5843383826938302e-05
pca_32,0.00012002271594313172
pca_33,-7.345040778449481e-05
pca_34,-7.118549807558196e-05
pca_35,4.569054118709819e-05
pca_36,4.8373969952545636e-05
pca_37,-2.1092554338384925e-05
pca_38,0.00010074432032426907
pca_39,-4.332899118048136e-05
pca_40,-0.00017204473666530557
pca_41,7.505251071311663e-05
pca_42,-8.078635535686432e-05
pca_43,3.268819762201747e-05
pca_44,8.67422851700731e-05
pca_45,3.6168376578171495e-05
pca_46,2.4191484688675242e-05
pca_47,0.00010561022574275843
pca_48,-6.82534453022759e-05
pca_49,-9.937265244627647e-05
pca_50,-5.980025377342898e-05
pca_51,-5.147094430501211e-05
pca_52,8.064569042649209e-05
pca_53,5.0754635876190795e-05
pca_54,-0.0001085234228467962
pca_55,3.2347978138326155e-05
pca_56,2.5196675499854583e-05
pca_57,-4.406279845175944e-06
pca_58,4.3840731812414324e-05
pca_59,-7.719852159283221e-05
pca_60,0.00014158490828026398
pca_61,-2.4323720850944256e-06
pca_62,1.9247944099757838e-06
pca_63,6.76311902604191e-05
pca_64,6.0699706871676924e-05
pca_65,-3.246825505485981e-05
pca_66,6.407547064056977e-05
pca_67,1.4385115251513422e-06
pca_68,1.2648986819154039e-05
pca_69,-0.0002121981481939874
pca_70,-1.5831073049107895e-05
pca_71,-2.4910395117642174e-05
pca_72,-5.3051081404030907e-05
pca_73,4.9495860503322866e-05
pca_74,-1.9175297287838032e-05
pca_75,8.97597822872794e-05
pca_76,2.5063740775187438e-05
pca_77,-0.0001538792005241003
pca_78,0.00018303154717720508
pca_79,-0.00017627008354391112
pca_80,0.00021954950078110575
pca_81,-3.9194850588508324e-05
pca_82,-0.0001309016900492706
pca_83,3.46530852880284e-05
pca_84,4.577988897443616e-05
pca_85,0.00013541990674955436
pca_86,-1.56734607066256e-05
pca_87,4.226615095116671e-05
pca_88,5.576522612020929e-05
pca_89,-9.188719318441334e-05
pca_90,4.7003693358463895e-05
pca_91,-7.715497756289457e-05
pca_92,5.4574915948655724e-05
pca_93,-8.782407997148202e-05
pca_94,1.2362105809281566e-05
pca_95,3.5185981489216347e-05
pca_96,4.577581749092656e-05
pca_97,-2.8859529057026506e-05
pca_98,-3.509494789781474e-05
pca_99,0.00010098658990667551
pca_100,7.479836584394455e-05
pca_101,8.152042524565628e-05
pca_102,5.691157160703856e-05
pca_103,-4.94135626277968e-05
pca_104,-2.6456393999859256e-06
pca_105,3.502903451866054e-05
pca_106,8.873377638669768e-05
pca_107,-4.0673745434623406e-05
pca_108,0.0001070480374619678
pca_109,-2.932944603738608e-05
pca_110,-2.6174669378303707e-06
pca_111,-2.7612619585275842e-05
pca_112,-8.532740741389184e-05
pca_113,-6.308451955453912e-05
pca_114,5.125723715337909e-05
pca_115,-4.116105510880179e-05
pca_116,-5.171032472503123e-05
pca_117,2.041598713572292e-06
pca_118,0.0001128320684293814
pca_119,-4.8527745342680165e-05
pca_120,1.2905061314058747e-05
pca_121,-7.850180115872888e-05
pca_122,-2.2854167429098284e-05
pca_123,7.659554066761068e-05
pca_124,-2.010841044006744e-05
pca_125,4.2303582385144645e-05
pca_126,6.460178331672312e-05
pca_127,-5.445121901165833e-05
pca_128,5.568073514684786e-06
pca_129,-4.582827938454585e-05
pca_130,9.084121599901692e-05
pca_131,7.334299077199669e-05
pca_132,9.224247777887457e-05
pca_133,0.00016049825592422427
pca_134,-5.5487413911927484e-05
pca_135,4.2190822926809535e-05
pca_136,-2.917521886287928e-05
