,coefs
Intercept,0.003175033038253247
month,-4.2718210156264e-05
jan-sep,8.547014872012772e-05
oct-dec,-8.547014872012776e-05
cpi_lag1,0.00019598981493610082
cpi_3ema,7.677849761836812e-05
cpi_9ema,8.378629907947939e-05
cpi_50ema,0.00013914858751314611
usd_1m_pct,-7.138042161107261e-06
usd_3m_pct,-6.901518676850428e-05
usd_9m_pct,4.842700442235592e-07
usd_3m_pct_6m_lag,-8.65995781879368e-05
usd_9m_pct_9m_lag,-7.1678598303427195e-06
usd_24ma,3.207532707912593e-06
usd_raw,-0.00011116282296347766
wti_1m_pct,7.949921658459797e-05
wti_3m_pct,0.00032633713552294665
wti_9m_pct,0.00018335803424806576
wti_3m_pct_6m_lag,-6.245090992240253e-06
wti_9m_pct_9m_lag,-6.762745627562672e-05
wti_24ma,6.321584536200693e-05
wti_raw,3.365699228091356e-05
gas_1m_pct,-3.2989323043236555e-05
gas_3m_pct,0.0001484849219032117
gas_9m_pct,4.4413165803472267e-05
gas_3m_pct_6m_lag,-8.898366076257318e-05
gas_9m_pct_9m_lag,6.415321612771011e-06
gas_24ma,-3.709451521311803e-05
gas_raw,5.8249354305555676e-05
dji_1m_pct,-9.070694041665017e-05
dji_3m_pct,-7.15860069553873e-05
dji_9m_pct,-0.00010069690120760633
dji_3m_pct_6m_lag,-1.1889921477742803e-05
dji_9m_pct_9m_lag,-5.966459538734429e-06
dji_24ma,-7.110518732739766e-05
dji_raw,-1.0638283064961824e-05
ffr_1m_pct,8.900290385067044e-05
ffr_3m_pct,2.132087513353741e-05
ffr_9m_pct,5.9906638442861314e-05
ffr_3m_pct_6m_lag,5.599154301222306e-05
ffr_9m_pct_9m_lag,-1.473373819011667e-05
ffr_24ma,7.992650566210333e-05
ffr_raw,0.00024018048784700728
vehic_1m_pct,0.00010854015975416114
vehic_3m_pct,3.620524652499679e-05
vehic_9m_pct,0.00010604156828316508
vehic_3m_pct_6m_lag,5.457573739943447e-05
vehic_9m_pct_9m_lag,7.245723277123686e-05
vehic_24ma,8.753010929691456e-05
vehic_raw,-1.4392795712587656e-06
m2_1m_pct,-2.266030814773687e-06
m2_3m_pct,5.062969872468923e-05
