,coef
month,-0.0
jan-sep,0.0
oct-dec,-0.0
cpi_lag1,0.0
cpi_3ema,0.0
cpi_9ema,0.0
cpi_50ema,0.00011978281714879271
usd_1m_pct,-0.0
usd_3m_pct,-0.0
usd_9m_pct,-0.0
usd_3m_pct_6m_lag,-0.0
usd_9m_pct_9m_lag,-0.0
usd_24ma,-0.0
usd_raw,-0.0
wti_1m_pct,0.0
wti_3m_pct,0.0
wti_9m_pct,0.0
wti_3m_pct_6m_lag,-0.0
wti_9m_pct_9m_lag,-0.0
wti_24ma,0.0
wti_raw,0.0
gas_1m_pct,0.0
gas_3m_pct,0.0
gas_9m_pct,0.0
gas_3m_pct_6m_lag,0.0
gas_9m_pct_9m_lag,-0.0
gas_24ma,0.0
gas_raw,0.0
dji_1m_pct,0.0
dji_3m_pct,0.0
dji_9m_pct,-0.0
dji_3m_pct_6m_lag,-0.0
dji_9m_pct_9m_lag,-0.0
dji_24ma,0.0
dji_raw,0.0
ffr_1m_pct,0.0
ffr_3m_pct,0.0
ffr_9m_pct,0.0
ffr_3m_pct_6m_lag,-0.0
ffr_9m_pct_9m_lag,-0.0
ffr_24ma,0.0
ffr_raw,-0.0
vehic_1m_pct,0.0
vehic_3m_pct,0.0
vehic_9m_pct,0.0
vehic_3m_pct_6m_lag,-0.0
vehic_9m_pct_9m_lag,0.0
vehic_24ma,0.0
vehic_raw,0.0
m2_1m_pct,-0.0
m2_3m_pct,-0.0
m2_9m_pct,0.0
m2_3m_pct_6m_lag,0.0
m2_9m_pct_9m_lag,0.0
m2_24ma,-0.0
m2_raw,0.0
m2v_1m_pct,-0.0
m2v_3m_pct,0.0
m2v_9m_pct,-0.0
m2v_3m_pct_6m_lag,-0.0
m2v_9m_pct_9m_lag,-0.0
m2v_24ma,-0.0
m2v_raw,-0.0
chn_trd_1m_pct,-0.0
chn_trd_3m_pct,-0.0
chn_trd_9m_pct,0.0
chn_trd_3m_pct_6m_lag,0.0
chn_trd_9m_pct_9m_lag,-0.0
chn_trd_24ma,-0.0
chn_trd_raw,0.0
wages_1m_pct,0.0
wages_3m_pct,-0.0
wages_9m_pct,0.0
wages_3m_pct_6m_lag,-0.0
wages_9m_pct_9m_lag,0.0
wages_24ma,0.0
wages_raw,0.0
saving_1m_pct,-0.0
saving_3m_pct,0.0
saving_9m_pct,0.0
saving_3m_pct_6m_lag,0.0
saving_9m_pct_9m_lag,-0.0
saving_24ma,-0.0
saving_raw,-0.0
pce_1m_pct,0.0
pce_3m_pct,0.0
pce_9m_pct,0.0
pce_3m_pct_6m_lag,-0.0
pce_9m_pct_9m_lag,-0.0
pce_24ma,0.0
pce_raw,0.0
unemp_1m_pct,-0.0
unemp_3m_pct,-0.0
unemp_9m_pct,-0.0
unemp_3m_pct_6m_lag,0.0
unemp_9m_pct_9m_lag,-0.0
unemp_24ma,-0.0
unemp_raw,-0.0
i_claims_1m_pct,0.0
i_claims_3m_pct,-0.0
i_claims_9m_pct,-0.0
i_claims_3m_pct_6m_lag,-0.0
i_claims_9m_pct_9m_lag,0.0
i_claims_24ma,0.0
i_claims_raw,-0.0
c_claims_1m_pct,-0.0
c_claims_3m_pct,-0.0
c_claims_9m_pct,0.0
c_claims_3m_pct_6m_lag,0.0
c_claims_9m_pct_9m_lag,0.0
c_claims_24ma,-0.0
c_claims_raw,-0.0
job_open_1m_pct,0.0
job_open_3m_pct,0.0
job_open_9m_pct,0.0
job_open_3m_pct_6m_lag,-0.0
job_open_9m_pct_9m_lag,0.0
job_open_24ma,0.0
job_open_raw,-0.0
sticky_1m_pct,0.0
sticky_3m_pct,0.0
sticky_9m_pct,0.0
sticky_3m_pct_6m_lag,0.0
sticky_9m_pct_9m_lag,0.0
sticky_24ma,0.0
sticky_raw,-0.0
ppi_1m_pct,0.0
ppi_3m_pct,0.0
ppi_9m_pct,0.0
ppi_3m_pct_6m_lag,0.0
ppi_9m_pct_9m_lag,0.0
ppi_24ma,0.0
ppi_raw,0.0
copper_1m_pct,-0.0
copper_3m_pct,0.0
copper_9m_pct,0.0
