model,rmse,diff to best
benchmark1_mean,0.003218372441998511,0.0011749665640154133
benchmark2_prev,0.0026672363884483337,0.0006238305104652362
benchmark3_rf,0.0020701919300535397,2.678605207044214e-05
ols,0.004441831028543583,0.002398425150560485
ridge_cv,0.002137490517007025,9.408463902392744e-05
lasso_cv,0.0021015791867175808,5.8173308734483196e-05
lasso_cvshuffled,0.0030598891751847145,0.001016483297201617
lasso_bic,0.0021457911505285746,0.00010238527254547705
lasso_ebic,0.0021457911505285746,0.00010238527254547705
bma,0.0020434058779830976,0.0
