,bma,lasso_bic,lasso_cvshuffled,lasso_cv,lasso_ebic,ols,ridge_cv
Intercept,0.0031750330382532,0.0031750330382532,0.0031750330382532,0.0031750330382532,0.0031750330382532,0.0031750330382532,0.0031750330382532
month,0.0,0.0,0.0,0.0,0.0,3.882813661775695e-05,-4.2718210156264e-05
jan-sep,0.0,0.0,0.0,0.0,0.0,27894527908.83009,8.547014872012772e-05
oct-dec,-4.66172981474098e-08,0.0,0.0,0.0,0.0,27894527908.82988,-8.547014872012776e-05
cpi_lag1,0.0028269050698036,0.0008058892578852,0.0,0.0007498397432042,0.0008058892578852,-0.0002430915748129,0.0001959898149361
cpi_3ema,0.0,0.0,0.0,0.0,0.0,-0.0017474981494096,7.677849761836812e-05
cpi_9ema,-0.0014871199073837,0.0,0.0,0.0,0.0,0.015107393187787,8.378629907947939e-05
cpi_50ema,0.0,0.0,0.0,0.0,0.0,-0.0150618323239788,0.0001391485875131
usd_1m_pct,0.0,0.0,0.0,0.0,0.0,0.0124999016457821,-7.138042161107261e-06
usd_3m_pct,0.0,0.0,0.0,0.0,0.0,4.901120785520303e-05,-6.901518676850428e-05
usd_9m_pct,0.0,0.0,0.0,0.0,0.0,-0.0003937627168175,4.842700442235592e-07
usd_3m_pct_6m_lag,0.0,0.0,0.0,0.0,0.0,2.6695155169744703e-05,-8.65995781879368e-05
usd_9m_pct_9m_lag,0.0,0.0,0.0,0.0,0.0,-5.853447149914671e-05,-7.16785983034272e-06
usd_24ma,0.0,0.0,0.0,0.0,0.0,-0.0123401231064058,3.207532707912593e-06
usd_raw,0.0,0.0,0.0,0.0,0.0,-0.002076401492793,-0.0001111628229634
wti_1m_pct,0.0,0.0,0.0,0.0,0.0,0.0138005384468394,7.949921658459797e-05
wti_3m_pct,0.0011696742202067,0.0008085952225741,0.0,0.0008566207629529,0.0008085952225741,0.0003824680784184,0.0003263371355229
wti_9m_pct,0.0,0.0,0.0,0.0,0.0,-0.0003436292687186,0.000183358034248
wti_3m_pct_6m_lag,0.0,0.0,0.0,0.0,0.0,0.0002222914626725,-6.245090992240253e-06
wti_9m_pct_9m_lag,0.0,0.0,0.0,0.0,0.0,-7.850568471122592e-05,-6.762745627562672e-05
wti_24ma,0.0,0.0,0.0,0.0,0.0,-0.0141431600085767,6.321584536200693e-05
wti_raw,0.0,0.0,0.0,0.0,0.0,0.0017822735202286,3.365699228091356e-05
gas_1m_pct,0.0,0.0,0.0,0.0,0.0,-0.0181105177882402,-3.2989323043236555e-05
gas_3m_pct,0.0,0.0,0.0,2.6500717896381654e-05,0.0,0.0002143456413989,0.0001484849219032
gas_9m_pct,0.0,0.0,0.0,0.0,0.0,0.0014865680420144,4.4413165803472267e-05
gas_3m_pct_6m_lag,0.0,0.0,0.0,0.0,0.0,-0.0005174160987137,-8.898366076257318e-05
gas_9m_pct_9m_lag,0.0,0.0,0.0,0.0,0.0,0.0005479639483066,6.415321612771011e-06
