,pca50_ols,pca50_lasso_cv,pca50_ridge_cv,pca50_lasso_bic,pca50_bma
Intercept,0.0031750330382532,0.0031750330382532,0.0031750330382532,0.0031750330382532,0.0031750330382532
pca_0,-0.0017203984365768,-0.0016590393638427,-0.0014274424423684,-0.0015179398922654,-0.0017210911901413
pca_3,0.0010003327167217,0.0009389736439875,0.0008299922541079,0.0007978741724102,0.0009998772800584
pca_5,-0.0005560064831552,-0.0004946474104211,-0.0004613275828516,-0.0003535479388438,-0.0004871937591846
pca_2,0.0005375684894495,0.0004762094167154,0.0004460292808955,0.0003351099451381,0.0004246678617234
pca_1,-0.0004984404256807,-0.0004370813529466,-0.0004135640927601,-0.0002959818813693,-0.0002616369727679
pca_13,-0.0004484615875518,-0.0003871025148177,-0.0003720958414245,-0.0002460030432404,-7.89597392387998e-05
pca_18,-0.0004247706904141,-0.00036341161768,-0.0003524391204271,-0.0002223121461027,-3.86980565077574e-05
pca_12,-0.0004127398587679,-0.0003513807860337,-0.000342456944587,-0.0002102813144564,-2.41782760991538e-05
pca_19,0.000361032436422,0.0002996733636879,0.0002995544589345,0.0001585738921106,4.14423262355716e-06
pca_25,0.0003533523440289,0.0002919932712948,0.0002931821619071,0.0001508937997175,2.59375747282088e-06
pca_7,0.0003346591042424,0.0002733000315083,0.0002776720781444,0.000132200559931,2.02318616400867e-06
pca_14,0.000313188923812,0.0002518298510779,0.0002598579217606,0.0001107303795006,9.20251841217478e-07
pca_8,-0.0003079864905428,-0.0002466274178087,-0.0002555413786307,-0.0001055279462314,-4.7118020904559e-07
pca_16,0.0002864418968631,0.0002250828241289,0.0002376654803688,8.39833525517018e-05,2.42456434149636e-07
pca_40,-0.000277279344203,-0.0002159202714689,-0.0002300631620516,-7.48207998916269e-05,-8.70735592974061e-08
pca_6,0.0002662351989798,0.0002048761262457,0.0002208996559148,6.3776654668483e-05,1.66669725487911e-07
pca_11,-0.0002616110503955,-0.0002002519776614,-0.0002170629249526,-5.91525060841814e-05,-1.50790617172326e-07
pca_20,-0.000261553388472,-0.0002001943157379,-0.0002170150819208,-5.90948441606497e-05,-5.28234622309233e-08
pca_30,0.0002342692310977,0.0001729101583635,0.0001943769747171,3.18106867863084e-05,3.91441642337349e-08
pca_28,-0.0001965934769876,-0.0001352344042535,-0.0001631167914238,0.0,0.0
pca_32,0.000193437013019,0.0001320779402848,0.0001604978221543,0.0,2.45881797067333e-08
pca_29,-0.0001891220004987,-0.0001277629277646,-0.0001569175863904,0.0,-1.06465575270386e-08
pca_15,-0.0001869758452003,-0.0001256167724661,-0.0001551368865852,0.0,0.0
pca_47,0.0001702088346477,0.0001088497619136,0.0001412250264106,0.0,0.0
pca_38,0.000162366600764,0.0001010075280299,0.0001347181979628,0.0,0.0
pca_49,-0.0001601559247675,-9.879685203340826e-05,-0.0001328839642895,0.0,0.0
pca_44,0.0001397999404853,7.844086775123762e-05,0.0001159942744928,0.0,0.0
pca_23,-0.0001351940062583,-7.383493352419765e-05,-0.0001121726562777,0.0,0.0
pca_42,-0.0001302009469634,-6.88418742293458e-05,-0.0001080298341249,0.0,0.0
pca_41,0.0001209598814511,5.960080871698768e-05,0.0001003623724227,0.0,0.0
pca_33,-0.0001183778201919,-5.701874745778031e-05,-9.821999438293862e-05,0.0,-2.75440635955561e-08
pca_34,-0.0001147275331157,-5.336846038164501e-05,-9.519129208437584e-05,0.0,0.0
pca_48,-0.0001100020315636,-4.864295882949627e-05,-9.12704669234108e-05,0.0,0.0
pca_50,-9.637827620224644e-05,-3.5019203468114886e-05,-7.996661648166375e-05,0.0,0.0
pca_36,7.796287712673815e-05,1.6603804392606523e-05,6.468706165607516e-05,0.0,0.0
pca_35,7.363807543433707e-05,1.2279002700205628e-05,6.109870365753863e-05,0.0,0.0
pca_39,-6.983203608765669e-05,-8.472963353525408e-06,-5.794077117790591e-05,0.0,0.0
pca_10,-6.611249848266421e-05,-4.7534257485318375e-06,-5.485461059412999e-05,0.0,0.0
pca_24,5.839416862364223e-05,0.0,4.84505873221204e-05,0.0,0.0
pca_45,5.829148820747575e-05,0.0,4.836539171805584e-05,0.0,0.0
pca_22,-5.455252460388926e-05,0.0,-4.52631130686688e-05,0.0,0.0
pca_43,5.2682588119187487e-05,0.0,4.371159648620373e-05,0.0,0.0
pca_9,-4.130001777111891e-05,0.0,-3.426729354298155e-05,0.0,0.0
pca_46,3.8988690614947486e-05,0.0,3.2349547972669164e-05,0.0,0.0
pca_26,3.453283006703093e-05,0.0,2.8652448319389424e-05,0.0,0.0
pca_37,-3.3994237474941736e-05,0.0,-2.8205569323950412e-05,0.0,0.0
pca_21,2.81163686204616e-05,0.0,2.3328606351201092e-05,0.0,0.0
pca_31,2.553430673114178e-05,0.0,2.118622778861037e-05,0.0,0.0
pca_4,-2.541436525262293e-05,0.0,-2.1086710401592144e-05,0.0,0.0
pca_27,-1.9143478810685493e-05,0.0,-1.588365437213751e-05,0.0,0.0
pca_17,-6.659751978228259e-06,0.0,-5.525704062069394e-06,0.0,0.0
